City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Ayan,RU,2022-12-27 22:31:26,56.45,138.1667,-4.58,77,99,10.96,overcast clouds
234,Marienburg,PL,2022-12-27 22:27:55,54.0359,19.0266,37.85,70,44,14.79,scattered clouds
235,Namatanai,PG,2022-12-27 22:31:27,-3.6667,152.4333,84.0,61,82,5.93,broken clouds
236,La Ronge,CA,2022-12-27 22:31:27,55.1001,-105.2842,3.45,78,100,10.36,overcast clouds
237,Cayenne,GF,2022-12-27 22:26:50,4.9333,-52.3333,75.24,94,75,8.05,broken clouds
238,Marsaxlokk,MT,2022-12-27 22:31:28,35.8419,14.5431,61.41,67,0,12.66,clear sky
239,Chepareria,KE,2022-12-27 22:31:28,1.3077,35.2039,62.2,85,100,2.17,light rain
240,Huarmey,PE,2022-12-27 22:31:28,-10.0681,-78.1522,71.53,79,92,10.22,overcast clouds
241,Mucurapo,TT,2022-12-27 22:31:29,10.6667,-61.5333,80.65,83,8,9.48,clear sky
242,Kismayo,SO,2022-12-27 22:31:29,-0.3582,42.5454,77.31,81,65,11.7,broken clouds
243,Broken Hill,AU,2022-12-27 22:31:29,-31.95,141.4333,88.95,20,16,25.46,few clouds
244,Mizdah,LY,2022-12-27 22:31:30,31.4451,12.9801,54.9,48,0,2.68,clear sky
245,Sioux Lookout,CA,2022-12-27 22:30:37,50.1001,-91.917,12.27,85,100,3.44,light snow
246,Saint-Augustin,CA,2022-12-27 22:31:30,51.226,-58.6502,17.22,81,100,9.15,overcast clouds
247,Huambo,AO,2022-12-27 22:31:30,-12.7761,15.7392,61.32,92,100,3.53,overcast clouds
248,Lewistown,US,2022-12-27 22:31:31,40.5992,-77.5714,31.87,89,100,0.0,light intensity drizzle
249,Ambon,ID,2022-12-27 22:31:31,-3.6954,128.1814,77.23,15,40,2.3,light rain
250,Kidal,ML,2022-12-27 22:31:31,18.4411,1.4078,66.94,26,96,10.94,overcast clouds
251,Ouahigouya,BF,2022-12-27 22:31:32,13.5828,-2.4216,70.86,20,87,10.51,overcast clouds
252,Sibolga,ID,2022-12-27 22:31:32,1.7427,98.7792,75.52,89,98,2.42,overcast clouds
253,Omsukchan,RU,2022-12-27 22:31:33,62.5333,155.8,-20.45,97,100,5.73,overcast clouds
254,Yaring,TH,2022-12-27 22:31:33,6.8662,101.3689,75.4,80,97,6.38,overcast clouds
